Time,mercadobitcoin
2012-04-28 00:00:00 UTC,11.4466666666667
2012-04-29 00:00:00 UTC,11.45
2012-04-30 00:00:00 UTC,11.7453333333333
2012-05-01 00:00:00 UTC,11.6166666666667
2012-05-02 00:00:00 UTC,12.1915
2012-05-03 00:00:00 UTC,12.1875
2012-05-04 00:00:00 UTC,12.2008333333333
2012-05-05 00:00:00 UTC,12.29
2012-05-06 00:00:00 UTC,12.2175
2012-05-07 00:00:00 UTC,12.15500125
2012-05-08 00:00:00 UTC,12.2241666666667
2012-05-09 00:00:00 UTC,12.1958304166667
2012-05-10 00:00:00 UTC,12.0266666666667
2012-05-11 00:00:00 UTC,12.19
2012-05-12 00:00:00 UTC,11.6644472222222
2012-05-13 00:00:00 UTC,11.2900333333333
2012-05-14 00:00:00 UTC,11.7830035
2012-05-15 00:00:00 UTC,12.1208666666667
2012-05-16 00:00:00 UTC,11.9077791666667
2012-05-17 00:00:00 UTC,11.9630476190476
2012-05-18 00:00:00 UTC,11.874
2012-05-19 00:00:00 UTC,11.97
2012-05-20 00:00:00 UTC,11.7966666666667
2012-05-21 00:00:00 UTC,12.0295679761905
2012-05-22 00:00:00 UTC,11.9524538095238
2012-05-23 00:00:00 UTC,12.002682
2012-05-24 00:00:00 UTC,11.9247003333333
2012-05-25 00:00:00 UTC,11.71625
2012-05-26 00:00:00 UTC,11.50969
2012-05-27 00:00:00 UTC,11.24
2012-05-28 00:00:00 UTC,11.1592167787115
2012-05-29 00:00:00 UTC,11.2883333333333
2012-05-30 00:00:00 UTC,11.4819935238095
2012-05-31 00:00:00 UTC,11.1358325
2012-06-01 00:00:00 UTC,11.4407096363636
2012-06-02 00:00:00 UTC,11.52
2012-06-03 00:00:00 UTC,11.8
2012-06-04 00:00:00 UTC,11.3455241025641
2012-06-05 00:00:00 UTC,11.9893323333333
2012-06-06 00:00:00 UTC,12.0533333333333
2012-06-07 00:00:00 UTC,12.7978214285714
2012-06-08 00:00:00 UTC,12.1714583333333
2012-06-09 00:00:00 UTC,12.155
2012-06-10 00:00:00 UTC,11.5575025
2012-06-11 00:00:00 UTC,12.6322946153846
2012-06-12 00:00:00 UTC,12.05
2012-06-13 00:00:00 UTC,13.2861141666667
2012-06-14 00:00:00 UTC,14.6041305964912
2012-06-15 00:00:00 UTC,13.6409128571429
2012-06-17 00:00:00 UTC,13.800006875
2012-06-18 00:00:00 UTC,13.55
2012-06-19 00:00:00 UTC,13.05001
2012-06-20 00:00:00 UTC,14.8532325925926
2012-06-21 00:00:00 UTC,15.1018141666667
2012-06-22 00:00:00 UTC,14.7839333333333
2012-06-23 00:00:00 UTC,14.275
2012-06-24 00:00:00 UTC,14.3351666666667
2012-06-25 00:00:00 UTC,14.7258095238095
2012-06-26 00:00:00 UTC,14.61
2012-06-27 00:00:00 UTC,14.63343
2012-06-28 00:00:00 UTC,15.4807976190476
2012-06-29 00:00:00 UTC,14.871
2012-06-30 00:00:00 UTC,14.9832475
2012-07-01 00:00:00 UTC,15.065736
2012-07-02 00:00:00 UTC,15.3057488
2012-07-03 00:00:00 UTC,15.2713
2012-07-04 00:00:00 UTC,15.225625
2012-07-05 00:00:00 UTC,15.1653333333333
2012-07-06 00:00:00 UTC,14.87207
2012-07-07 00:00:00 UTC,15.3439044444444
2012-07-08 00:00:00 UTC,15.53
2012-07-09 00:00:00 UTC,15.4731666666667
2012-07-10 00:00:00 UTC,15.8329069387755
2012-07-11 00:00:00 UTC,15.31001
2012-07-12 00:00:00 UTC,16.0950888888889
2012-07-13 00:00:00 UTC,16.5199880952381
2012-07-14 00:00:00 UTC,16.815
2012-07-15 00:00:00 UTC,16.161335
2012-07-16 00:00:00 UTC,17.0923478911565
2012-07-17 00:00:00 UTC,18.302962
2012-07-18 00:00:00 UTC,19.995
2012-07-19 00:00:00 UTC,20.8189720666667
2012-07-20 00:00:00 UTC,18.331131875
2012-07-22 00:00:00 UTC,19.3611866666667
2012-07-23 00:00:00 UTC,19.4848812121212
