Time,anxbtc,bitmarket,btcmarkets,mtgox
2012-02-08 00:00:00 UTC,,,,5.3104032967033
2012-02-09 00:00:00 UTC,,,,5.3136025
2012-02-10 00:00:00 UTC,,,,5.54881285714286
2012-02-11 00:00:00 UTC,,,,5.48
2012-02-12 00:00:00 UTC,,,,5.38531571428572
2012-02-13 00:00:00 UTC,,,,5.10067333333333
2012-02-14 00:00:00 UTC,,,,4.54492885185185
2012-02-15 00:00:00 UTC,,,,4.33064331450094
2012-02-16 00:00:00 UTC,,,,4.01922489795918
2012-02-17 00:00:00 UTC,,,,4.2651096118892
2012-02-18 00:00:00 UTC,,,,4.02233833333334
2012-02-20 00:00:00 UTC,,,,4.135902
2012-02-21 00:00:00 UTC,,,,4.05144764705882
2012-02-22 00:00:00 UTC,,,,4.24789213461538
2012-02-23 00:00:00 UTC,,,,4.35598592171717
2012-02-24 00:00:00 UTC,,,,4.69206375
2012-02-25 00:00:00 UTC,,,,4.7175725
2012-02-26 00:00:00 UTC,,,,4.55083964285715
2012-02-27 00:00:00 UTC,,,,4.72729301216003
2012-02-28 00:00:00 UTC,,,,4.66956073924731
2012-02-29 00:00:00 UTC,,,,4.61303
2012-03-01 00:00:00 UTC,,,,4.67364063129974
2012-03-02 00:00:00 UTC,,,,4.48003486666667
2012-03-04 00:00:00 UTC,,,,4.42352
2012-03-05 00:00:00 UTC,,,,4.66888821428571
2012-03-06 00:00:00 UTC,,,,4.70947463157895
2012-03-07 00:00:00 UTC,,,,4.83510714285714
2012-03-08 00:00:00 UTC,,,,4.700505
2012-03-09 00:00:00 UTC,,,,4.65905985714286
2012-03-10 00:00:00 UTC,,,,4.66954136363636
2012-03-11 00:00:00 UTC,,,,4.67054033333334
2012-03-12 00:00:00 UTC,,,,4.71310311111111
2012-03-13 00:00:00 UTC,,,,4.808364
2012-03-14 00:00:00 UTC,,,,5.15689138888889
2012-03-15 00:00:00 UTC,,,,5.265513
2012-03-16 00:00:00 UTC,,,,5.150221875
2012-03-17 00:00:00 UTC,,,,5.1958075
2012-03-18 00:00:00 UTC,,,,5.11655
2012-03-19 00:00:00 UTC,,,,4.99746342857143
2012-03-20 00:00:00 UTC,,,,4.6442275
2012-03-21 00:00:00 UTC,,,,4.67188418306182
2012-03-22 00:00:00 UTC,,,,4.617338
2012-03-23 00:00:00 UTC,,,,4.57597238095238
2012-03-24 00:00:00 UTC,,,,4.538615
2012-03-25 00:00:00 UTC,,,,4.40643916666667
2012-03-26 00:00:00 UTC,,,,4.55525626879699
2012-03-27 00:00:00 UTC,,,,4.50724073401163
2012-03-28 00:00:00 UTC,,,,4.61710125
2012-03-29 00:00:00 UTC,,,,4.69872441666667
2012-03-30 00:00:00 UTC,,,,4.70029706530112
2012-03-31 00:00:00 UTC,,,,4.7575
2012-04-01 00:00:00 UTC,,,,4.69345
2012-04-02 00:00:00 UTC,,,,4.7175
2012-04-03 00:00:00 UTC,,,,4.84744742424242
2012-04-04 00:00:00 UTC,,,,4.8832185290404
2012-04-05 00:00:00 UTC,,,,4.83484939393939
2012-04-06 00:00:00 UTC,,,,4.88799214285714
2012-04-07 00:00:00 UTC,,,,4.74192663157895
2012-04-08 00:00:00 UTC,,,,4.60866666666667
2012-04-09 00:00:00 UTC,,,,4.699995
2012-04-10 00:00:00 UTC,,,,4.75741005952381
2012-04-11 00:00:00 UTC,,,,4.83953406363636
2012-04-12 00:00:00 UTC,,,,4.84654087912088
2012-04-13 00:00:00 UTC,,,,4.7459925
2012-04-14 00:00:00 UTC,,,,4.78125
2012-04-15 00:00:00 UTC,,,,4.790005
2012-04-16 00:00:00 UTC,,,,4.81486333333334
2012-04-17 00:00:00 UTC,,,,4.85132924867725
2012-04-18 00:00:00 UTC,,,,4.93704166666667
2012-04-19 00:00:00 UTC,,,,5.08126525852452
2012-04-20 00:00:00 UTC,,,,5.10278571428571
2012-04-21 00:00:00 UTC,,,,5.177465875
2012-04-22 00:00:00 UTC,,,,5.04908708333334
2012-04-23 00:00:00 UTC,,,,5.07168425084175
2012-04-24 00:00:00 UTC,,,,5.01512670068027
2012-04-25 00:00:00 UTC,,,,5.0695862962963
2012-04-26 00:00:00 UTC,,,,5.03634601689409
2012-04-27 00:00:00 UTC,,,,4.98327809090909
2012-04-28 00:00:00 UTC,,,,4.88033187012987
2012-04-29 00:00:00 UTC,,,,4.76718880952381
2012-04-30 00:00:00 UTC,,,,4.78551805555556
2012-05-01 00:00:00 UTC,,,,4.85245317299984
2012-05-02 00:00:00 UTC,,,,4.99616673502972
2012-05-03 00:00:00 UTC,,,,5.01233041666667
2012-05-04 00:00:00 UTC,,,,5.0
2012-05-05 00:00:00 UTC,,,,4.97586
2012-05-06 00:00:00 UTC,,,,5.0
2012-05-07 00:00:00 UTC,,,,5.00765333333333
2012-05-08 00:00:00 UTC,,,,5.0102640625
2012-05-09 00:00:00 UTC,,,,5.05788749673202
2012-05-10 00:00:00 UTC,,,,5.08559443783069
2012-05-11 00:00:00 UTC,,,,4.9506109280303
2012-05-13 00:00:00 UTC,,,,4.9546732
2012-05-14 00:00:00 UTC,,,,5.01215406926407
2012-05-15 00:00:00 UTC,,,,5.08305038366013
2012-05-16 00:00:00 UTC,,,,5.17460944621212
2012-05-17 00:00:00 UTC,,,,5.1287527985348
2012-05-18 00:00:00 UTC,,,,5.24448836857143
2012-05-19 00:00:00 UTC,,,,5.290005
2012-05-20 00:00:00 UTC,,,,5.12736516483517
2012-05-21 00:00:00 UTC,,,,5.17125
2012-05-22 00:00:00 UTC,,,,5.26410453216374
2012-05-23 00:00:00 UTC,,,,5.27711766666667
2012-05-24 00:00:00 UTC,,,,5.33637766666667
2012-05-25 00:00:00 UTC,,,,5.34668141666667
2012-05-26 00:00:00 UTC,,,,5.34816368484849
2012-05-27 00:00:00 UTC,,,,5.20756994642857
2012-05-28 00:00:00 UTC,,,,5.2333375
2012-05-29 00:00:00 UTC,,,,5.21592
