Time,bit-x,bitcoinde,bitstamp,cex.io,coinbase,exmo,kraken,others,paymium,therocktrading
2011-09-10 00:00:00 UTC,,,,,,,,4.9,,
2011-09-11 00:00:00 UTC,,,,,,,,4.0,,
2011-09-12 00:00:00 UTC,,,,,,,,,,
2011-09-13 00:00:00 UTC,,,,,,,,4.264235,,
2011-09-14 00:00:00 UTC,,,,,,,,4.51222222222222,,
2011-09-15 00:00:00 UTC,,,,,,,,4.24583333333333,,
2011-09-16 00:00:00 UTC,,,,,,,,,,
2011-09-17 00:00:00 UTC,,,,,,,,4.0,,
2011-09-18 00:00:00 UTC,,,,,,,,3.7125,,
2011-09-19 00:00:00 UTC,,,,,,,,4.1,,
2011-09-20 00:00:00 UTC,,,,,,,,4.2,,
2011-09-21 00:00:00 UTC,,,,,,,,4.36666666666667,,
2011-09-22 00:00:00 UTC,,,,,,,,4.5,,
2011-09-23 00:00:00 UTC,,,,,,,,4.5,,
2011-09-24 00:00:00 UTC,,,,,,,,,,
2011-09-25 00:00:00 UTC,,,,,,,,,,
2011-09-26 00:00:00 UTC,,,,,,,,,,
2011-09-27 00:00:00 UTC,,,,,,,,4.0,,
2011-09-28 00:00:00 UTC,,,,,,,,3.775,,
2011-09-29 00:00:00 UTC,,,,,,,,4.0,,
2011-09-30 00:00:00 UTC,,,,,,,,4.68666333333333,,
2011-10-01 00:00:00 UTC,,,,,,,,4.93333333333333,,
2011-10-02 00:00:00 UTC,,,,,,,,,,
2011-10-03 00:00:00 UTC,,,,,,,,,,
2011-10-04 00:00:00 UTC,,,,,,,,3.9,,
2011-10-05 00:00:00 UTC,,,,,,,,,,
2011-10-06 00:00:00 UTC,,,,,,,,4.2,,
2011-10-07 00:00:00 UTC,,,,,,,,3.92541666666667,,
2011-10-08 00:00:00 UTC,,,,,,,,3.3,,
2011-10-09 00:00:00 UTC,,,,,,,,3.181,,
2011-10-10 00:00:00 UTC,,,,,,,,3.32661666666667,,
2011-10-11 00:00:00 UTC,,,,,,,,3.6733333333333347,,
2011-10-12 00:00:00 UTC,,,,,,,,,,
2011-10-13 00:00:00 UTC,,,,,,,,,,
2011-10-14 00:00:00 UTC,,,,,,,,3.02191666666667,,
2011-10-15 00:00:00 UTC,,,,,,,,3.0,,
2011-10-16 00:00:00 UTC,,,,,,,,,,
2011-10-17 00:00:00 UTC,,,,,,,,2.5,,
2011-10-18 00:00:00 UTC,,,,,,,,2.9,,
2011-10-19 00:00:00 UTC,,,,,,,,1.8589,,
2011-10-20 00:00:00 UTC,,,,,,,,,,
